" Salutation","Lektion eins: Begrüßungen "
" Saluer ","Begrüßung und Abschied "
" Salut","Hallo "
" Bonjour  monsieur","Hallo  Herr "
" Bonjour madame","Hallo Frau "
" Bonjour ","Guten Morgen "
" Bonjour","Guten Tag "
" Bonsoir","Guten Abend "
" Bonne nuit","Gute Nacht "
" Salut","Tschüs "
" Au revoir","Auf Wiedersehen "
" Se présenter","Vorstellung "
" Comment vous appelez-vous ?","Wie heißen Sie? "
" Je m’appelle","Ich heiße "
" Demander des précisions","Nachfragen "
" Comment ?","Wie bitte? "
" Comment ça s’écrit ?","Wie schreibt man das? "
" État de santé","Befinden "
" comment allez-vous ?","Wie geht es Ihnen? "
" très bien merci","Danke sehr gut "
" Et vous ?","Und Ihnen? "
" Bien aussi","Auch gut "
" Super","Super "
" Très bien","Sehr gut "
" Bien","Gut "
" Ça va","Es geht "
" Pas très bien","Nicht so gut "
" Langue du cours","Kurssprache "
" Écoutez","Hören Sie "
" Lisez","Lesen Sie "
" Écrivez","Schreiben Sie "
" Parlez","Sprechen Sie "
" Répétez","Sprechen Sie nach "
" Posez des questions","Fragen Sie "
" Répondez","Antworten Sie "
" Dictez","Diktieren Sie "
" Complétez","Ergänzen Sie "
" Cochez","Kreuzen Sie an "
" Associez ","Ordnen Sie zu "